Topic,Category2,Date,Sentiment,Sentiment_YoY_Growth,Frequency,Frequency_YoY_Growth,Trending_Score,Perspective,Category1,Country,Novelty_Score
#designinspo,ginger ale,last year,0.7263,72.63,0,-0.75,0.0,Hashtag,Beverage,Canada,7.6868787
#icecream,ginger ale,last year,0.0,-0.9838788,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#lifeofriley,ginger ale,last year,0.0,-0.97732425,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@Wendys,ginger ale,last month,0.0,-0.9897162,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@WindowTrendsHI,ginger ale,last year,0.7263,72.63,0,-0.75,0.0,Hashtag,Beverage,Canada,7.6868787
@nypost,ginger ale,last year,0.0,-0.97306037,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Cherry,ginger ale,last 3 month,0.0,0.0,2,2.0,0.0,Ingredient,Beverage,Canada,7.6868787
Cranberry Juice,ginger ale,last 6 month,0.0,-1.1488096,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Diet Coke,ginger ale,last 3 month,0.0,0.0,0,-0.6666667,0.0,Brand,Beverage,Canada,
Water,ginger ale,last year,-0.1926,-1.7280701,4,0.6666667,0.0,Ingredient,Beverage,Canada,
White,ginger ale,last year,0.7264,72.64,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
#Essentials,soda,last year,0.0,-0.9828149,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#HealthTip,soda,last year,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#fizzyfriday,soda,last year,0.0,-0.97927034,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
Cheese,soda,last 6 month,-0.296,-29.6,0,-0.75,0.0,Ingredient,Beverage,Canada,8.589969
Dried,soda,last year,0.0,-1.030303,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Mineral Water,soda,last 3 month,0.6124,61.239998,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
Red,soda,last 3 month,0.0,-1.030303,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Seltzer,soda,last 6 month,-0.6705,-67.049995,0,-0.6666667,0.0,Ingredient,Beverage,Canada,8.834928
#SimplyAmazing,tonic,last 6 month,0.5859,58.59,0,-0.6666667,0.0,Hashtag,Beverage,Canada,8.834928
#bbcqt,tonic,last year,0.0,0.0,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#fevertree,tonic,last 3 month,0.0,-1.0423371,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
#rosemary,tonic,last year,0.0,-1.0423371,2,2.0,0.0,Hashtag,Beverage,Canada,8.834928
@GinFoundry,tonic,last year,0.0,-0.98876655,3,3.0,0.0,Hashtag,Beverage,Canada,
Biotech,ginger ale,last year,0.0,0.0,2,2.0,0.0,Brand,Beverage,Canada,8.834928
Coke Zero,ginger ale,last year,0.6153,61.53,0,-0.8,0.0,Ingredient,Beverage,Canada,7.6868787
Cold Water,ginger ale,last 3 month,0.0,-1.1488096,2,2.0,0.0,Ingredient,Beverage,Canada,8.834928
Crackers,ginger ale,last year,-0.095366664,-9.536667,0,-0.9,0.0,Ingredient,Beverage,Canada,8.589969
Creamy,ginger ale,last 3 month,0.0,-0.9786689,2,2.0,0.0,Motivation,Beverage,Canada,8.834928
